Transaction_ID,Customer_ID,Transaction_Date,Category,Product,Quantity,Unit_Price,Discount_Pct,Gross_Amount,Discount_Amount,Net_Amount,Payment_Mode,Channel,Region
TXN000001,CUST0576,2024-02-03,Home & Kitchen,Cookware Set,5,2378.7,0.0,11893.5,0.0,11893.5,Net Banking,In-Store,West
TXN000002,CUST0048,2024-06-19,Home & Kitchen,Curtains,4,1573.87,5.0,6295.48,314.77,5980.71,Debit Card,In-Store,East
TXN000003,CUST0676,2024-11-06,Fashion,Jacket,2,1537.25,15.0,3074.5,461.18,2613.32,Credit Card,In-Store,West
TXN000004,CUST0662,2024-12-23,Electronics,USB Cable,2,3036.05,5.0,6072.1,303.61,5768.49,Net Banking,Online,East
TXN000005,CUST0680,2023-08-30,Home & Kitchen,LED Lamp,4,3292.63,5.0,13170.52,658.53,12511.99,Cash on Delivery,Online,South
TXN000006,CUST0367,2024-11-20,Fashion,Cap,4,922.73,25.0,3690.92,922.73,2768.19,Credit Card,In-Store,West
TXN000007,CUST0564,2024-12-07,Home & Kitchen,Cookware Set,5,2056.33,20.0,10281.65,2056.33,8225.32,UPI,Online,South
TXN000008,CUST0186,2024-12-14,Fashion,Jacket,4,840.61,25.0,3362.44,840.61,2521.83,Net Banking,Online,East
TXN000009,CUST0535,2024-12-18,Home & Kitchen,Cookware Set,5,807.36,0.0,4036.8,0.0,4036.8,Credit Card,Online,South
TXN000010,CUST0569,2024-05-24,Beauty,Shampoo,5,110.06,25.0,550.3,137.57,412.73,Net Banking,Online,West
TXN000011,CUST0004,2024-06-29,Groceries,Tea 250g,4,59.43,0.0,237.72,0.0,237.72,Credit Card,Online,West
TXN000012,CUST0466,2024-09-15,Fashion,Jeans,4,855.32,5.0,3421.28,171.06,3250.22,Debit Card,In-Store,East
TXN000013,CUST0532,2024-08-17,Electronics,Headphones,4,827.25,20.0,3309.0,661.8,2647.2,UPI,Online,East
TXN000014,CUST0706,2024-03-24,Electronics,Smartwatch,3,1239.96,0.0,3719.88,0.0,3719.88,Debit Card,In-Store,East
TXN000015,CUST0012,2024-05-12,Fashion,Cap,5,2105.52,20.0,10527.6,2105.52,8422.08,Cash on Delivery,In-Store,West
TXN000016,CUST0359,2024-07-15,Sports,Dumbbells,2,428.4,0.0,856.8,0.0,856.8,UPI,In-Store,East
TXN000017,CUST0772,2024-11-05,Home & Kitchen,Mixer Grinder,2,1686.82,20.0,3373.64,674.73,2698.91,Credit Card,In-Store,North
TXN000018,CUST0601,2024-02-09,Sports,Yoga Mat,1,1052.53,0.0,1052.53,0.0,1052.53,Credit Card,In-Store,South
TXN000019,CUST0403,2024-04-23,Home & Kitchen,Mixer Grinder,3,1681.18,0.0,5043.54,0.0,5043.54,Cash on Delivery,In-Store,West
TXN000020,CUST0678,2024-08-27,Electronics,Bluetooth Speaker,5,1948.34,0.0,9741.7,0.0,9741.7,Net Banking,Online,North
TXN000021,CUST0135,2024-08-15,Home & Kitchen,LED Lamp,3,1634.43,5.0,4903.29,245.16,4658.13,Net Banking,Online,South
TXN000022,CUST0412,2024-05-06,Fashion,Sneakers,4,1170.52,0.0,4682.08,0.0,4682.08,UPI,In-Store,North
TXN000023,CUST0508,2024-06-19,Sports,Dumbbells,5,1953.77,5.0,9768.85,488.44,9280.41,UPI,In-Store,South
TXN000024,CUST0255,2024-12-12,Beauty,Perfume,4,700.19,5.0,2800.76,140.04,2660.72,Net Banking,In-Store,South
TXN000025,CUST0648,2023-06-04,Electronics,Power Bank,4,2855.42,0.0,11421.68,0.0,11421.68,Net Banking,In-Store,East
TXN000026,CUST0499,2023-07-16,Groceries,Detergent,5,582.64,0.0,2913.2,0.0,2913.2,Credit Card,Online,West
TXN000027,CUST0532,2024-06-27,Home & Kitchen,Cookware Set,4,3445.91,0.0,13783.64,0.0,13783.64,Credit Card,Online,East
TXN000028,CUST0243,2024-03-29,Groceries,Detergent,5,304.68,0.0,1523.4,0.0,1523.4,UPI,Online,Central
TXN000029,CUST0442,2024-06-25,Home & Kitchen,Curtains,2,2943.35,25.0,5886.7,1471.67,4415.03,UPI,In-Store,West
TXN000030,CUST0089,2024-10-20,Sports,Football,2,1996.71,5.0,3993.42,199.67,3793.75,Cash on Delivery,Online,South
TXN000031,CUST0476,2024-12-04,Home & Kitchen,Storage Box,4,2832.59,0.0,11330.36,0.0,11330.36,Cash on Delivery,Online,East
TXN000032,CUST0406,2023-10-19,Beauty,Lipstick,5,874.14,0.0,4370.7,0.0,4370.7,UPI,In-Store,Central
TXN000033,CUST0187,2024-02-20,Electronics,Bluetooth Speaker,1,2847.45,15.0,2847.45,427.12,2420.33,Unknown,In-Store,East
TXN000034,CUST0518,2024-11-14,Sports,Cricket Bat,3,483.3,0.0,1449.9,0.0,1449.9,Cash on Delivery,In-Store,Central
TXN000035,CUST0390,2023-09-09,Fashion,Cap,5,708.66,0.0,3543.3,0.0,3543.3,Net Banking,In-Store,North
TXN000036,CUST0135,2024-12-03,Home & Kitchen,Curtains,5,3341.08,0.0,16705.4,4176.35,12529.05,Net Banking,In-Store,South
TXN000037,CUST0386,2023-12-09,Beauty,Lipstick,3,342.58,0.0,1027.74,0.0,1027.74,Net Banking,In-Store,Central
TXN000038,CUST0476,2024-06-21,Electronics,USB Cable,4,899.72,5.0,3598.88,179.94,3418.94,Net Banking,Online,East
TXN000039,CUST0536,2023-12-17,Sports,Dumbbells,1,1401.35,5.0,1401.35,70.07,1331.28,Debit Card,In-Store,South
TXN000040,CUST0676,2024-10-21,Groceries,Tea 250g,3,82.65,0.0,247.95,0.0,247.95,UPI,In-Store,West
TXN000041,CUST0262,2024-10-16,Home & Kitchen,Storage Box,3,514.24,0.0,1542.72,0.0,1542.72,Debit Card,Online,West
TXN000042,CUST0140,2024-06-23,Home & Kitchen,Cookware Set,4,1815.21,0.0,7260.84,0.0,7260.84,Credit Card,In-Store,South
TXN000043,CUST0458,2024-11-10,Home & Kitchen,LED Lamp,4,2120.45,15.0,8481.8,1272.27,7209.53,Credit Card,In-Store,South
TXN000044,CUST0204,2024-01-23,Beauty,Shampoo,3,702.04,0.0,2106.12,0.0,2106.12,Credit Card,Online,West
TXN000045,CUST0519,2023-07-31,Beauty,Face Wash,2,100.74,10.0,201.48,20.15,181.33,Debit Card,In-Store,Central
TXN000046,CUST0086,2023-09-18,Home & Kitchen,LED Lamp,2,2341.41,20.0,4682.82,936.56,3746.26,Credit Card,Online,West
TXN000047,CUST0002,2024-11-24,Beauty,Face Wash,4,110.22,0.0,440.88,0.0,440.88,Net Banking,Online,South
TXN000048,CUST0220,2024-11-21,Electronics,Headphones,2,861.21,0.0,1722.42,0.0,1722.42,Cash on Delivery,Online,North
TXN000049,CUST0513,2024-04-14,Fashion,Jacket,2,768.72,0.0,1537.44,0.0,1537.44,Credit Card,Online,East
TXN000050,CUST0552,2024-12-08,Groceries,Tea 250g,5,404.54,10.0,2022.7,202.27,1820.43,Credit Card,In-Store,East
TXN000051,CUST0193,2024-04-29,Groceries,Detergent,4,486.58,0.0,1946.32,0.0,1946.32,Debit Card,In-Store,North
TXN000052,CUST0525,2024-04-15,Electronics,USB Cable,4,3610.54,15.0,14442.16,2166.32,12275.84,Cash on Delivery,Online,South
TXN000053,CUST0566,2024-04-04,Electronics,Headphones,3,2555.77,20.0,7667.31,1533.46,6133.85,Net Banking,In-Store,Central
TXN000054,CUST0071,2024-11-07,Groceries,Detergent,5,161.76,15.0,808.8,121.32,687.48,Net Banking,Online,West
TXN000055,CUST0273,2024-11-06,Beauty,Shampoo,2,598.71,0.0,1197.42,0.0,1197.42,Credit Card,Online,East
TXN000056,CUST0532,2024-09-27,Fashion,Jacket,3,1450.61,0.0,4351.83,0.0,4351.83,Credit Card,In-Store,East
TXN000057,CUST0616,2024-03-20,Home & Kitchen,Storage Box,4,2102.95,0.0,8411.8,0.0,8411.8,UPI,Online,North
TXN000058,CUST0242,2024-06-26,Electronics,USB Cable,1,2859.42,25.0,2859.42,714.86,2144.56,UPI,In-Store,South
TXN000059,CUST0721,2023-11-06,Fashion,T-Shirt,3,2310.68,10.0,6932.04,693.2,6238.84,Credit Card,In-Store,North
TXN000060,CUST0116,2024-07-01,Sports,Yoga Mat,3,1475.52,10.0,4426.56,442.66,3983.9,UPI,Online,East
TXN000061,CUST0476,2024-02-14,Electronics,Bluetooth Speaker,4,1202.35,5.0,4809.4,240.47,4568.93,Cash on Delivery,Online,East
TXN000062,CUST0141,2024-08-04,Beauty,Face Wash,4,1064.92,10.0,4259.68,425.97,3833.71,Credit Card,Online,East
TXN000063,CUST0470,2024-02-09,Fashion,Jacket,5,431.77,20.0,2158.85,431.77,1727.08,UPI,In-Store,East
TXN000064,CUST0779,2024-12-17,Electronics,USB Cable,2,834.52,5.0,1669.04,83.45,1585.59,UPI,In-Store,West
TXN000065,CUST0669,2024-09-16,Beauty,Perfume,2,322.98,0.0,645.96,0.0,645.96,Debit Card,In-Store,Central
TXN000066,CUST0420,2024-10-26,Beauty,Face Wash,2,439.14,10.0,878.28,87.83,790.45,Cash on Delivery,Online,North
TXN000067,CUST0201,2024-12-24,Home & Kitchen,Cookware Set,2,1373.95,0.0,2747.9,0.0,2747.9,Net Banking,In-Store,South
TXN000068,CUST0479,2024-09-14,Groceries,Cooking Oil 1L,2,83.92,0.0,167.84,0.0,167.84,Debit Card,In-Store,East
TXN000069,CUST0339,2024-03-06,Sports,Yoga Mat,4,2722.11,0.0,10888.44,0.0,10888.44,Credit Card,In-Store,East
TXN000070,CUST0117,2024-03-26,Beauty,Face Wash,2,534.5,15.0,1069.0,160.35,908.65,Debit Card,Online,East
TXN000071,CUST0249,2024-12-16,Beauty,Shampoo,1,424.62,0.0,424.62,0.0,424.62,UPI,In-Store,Central
TXN000072,CUST0134,2024-04-18,Fashion,Cap,4,2486.99,25.0,9947.96,2486.99,7460.97,UPI,In-Store,East
TXN000073,CUST0361,2023-11-17,Fashion,T-Shirt,5,781.84,15.0,3909.2,586.38,3322.82,Cash on Delivery,Online,South
TXN000074,CUST0779,2024-11-21,Electronics,Smartwatch,2,2799.03,20.0,5598.06,1119.61,4478.45,UPI,Online,West
TXN000075,CUST0162,2024-01-28,Groceries,Snacks Pack,5,435.31,0.0,2176.55,0.0,2176.55,Cash on Delivery,Online,Central
TXN000076,CUST0655,2024-04-21,Beauty,Moisturizer,1,355.89,15.0,355.89,53.38,302.51,Cash on Delivery,Online,South
TXN000077,CUST0615,2023-04-18,Home & Kitchen,Cookware Set,1,1267.84,15.0,1267.84,190.18,1077.66,Credit Card,In-Store,East
TXN000078,CUST0532,2024-04-28,Sports,Football,4,1395.07,15.0,5580.28,837.04,4743.24,Debit Card,In-Store,East
TXN000079,CUST0213,2024-08-16,Groceries,Cooking Oil 1L,5,50.99,20.0,254.95,50.99,203.96,Cash on Delivery,Online,South
TXN000080,CUST0171,2024-07-08,Home & Kitchen,Storage Box,3,3291.07,0.0,9873.21,0.0,9873.21,Credit Card,In-Store,West
TXN000081,CUST0404,2024-12-10,Home & Kitchen,Cookware Set,4,1046.97,0.0,4187.88,0.0,4187.88,Net Banking,In-Store,South
TXN000082,CUST0691,2024-05-22,Home & Kitchen,Storage Box,4,2802.81,0.0,11211.24,0.0,11211.24,Credit Card,In-Store,East
TXN000083,CUST0018,2024-11-18,Home & Kitchen,Mixer Grinder,1,1439.01,15.0,1439.01,215.85,1223.16,Cash on Delivery,In-Store,South
TXN000084,CUST0532,2024-10-18,Beauty,Shampoo,5,464.2,10.0,2321.0,232.1,2088.9,UPI,In-Store,East
TXN000085,CUST0227,2024-06-13,Electronics,Power Bank,5,2501.19,25.0,12505.95,3126.49,9379.46,Debit Card,Online,Central
TXN000086,CUST0028,2024-10-01,Fashion,Sneakers,3,1341.86,0.0,4025.58,0.0,4025.58,Cash on Delivery,In-Store,North
TXN000087,CUST0177,2023-05-06,Beauty,Perfume,2,389.74,0.0,779.48,0.0,779.48,Credit Card,In-Store,Central
TXN000088,CUST0616,2024-09-02,Beauty,Moisturizer,4,674.84,5.0,2699.36,134.97,2564.39,Net Banking,In-Store,North
TXN000089,CUST0070,2024-07-07,Sports,Yoga Mat,4,492.8,0.0,1971.2,0.0,1971.2,Debit Card,Online,South
TXN000090,CUST0616,2024-07-05,Fashion,T-Shirt,3,2474.22,15.0,7422.66,1113.4,6309.26,Credit Card,Online,North
TXN000091,CUST0360,2023-04-27,Beauty,Moisturizer,5,1060.81,20.0,5304.05,1060.81,4243.24,Credit Card,In-Store,East
TXN000092,CUST0141,2024-07-28,Groceries,Detergent,5,478.75,15.0,2393.75,359.06,2034.69,Net Banking,In-Store,East
TXN000093,CUST0358,2024-09-17,Beauty,Moisturizer,1,258.24,20.0,258.24,51.65,206.59,UPI,Online,West
TXN000094,CUST0051,2023-01-09,Beauty,Perfume,1,433.36,5.0,433.36,21.67,411.69,Debit Card,In-Store,East
TXN000095,CUST0779,2024-12-25,Beauty,Perfume,4,306.73,15.0,1226.92,184.04,1042.88,Credit Card,Online,West
TXN000096,CUST0058,2024-01-07,Sports,Water Bottle,2,2644.26,0.0,5288.52,0.0,5288.52,Debit Card,Online,Central
TXN000097,CUST0412,2024-03-31,Home & Kitchen,Cookware Set,3,1866.92,25.0,5600.76,1400.19,4200.57,Cash on Delivery,In-Store,North
TXN000098,CUST0164,2024-07-16,Beauty,Moisturizer,1,384.53,20.0,384.53,76.91,307.62,Credit Card,Online,South
TXN000099,CUST0672,2024-01-06,Fashion,Jeans,1,1790.93,25.0,1790.93,447.73,1343.2,Debit Card,Online,East
TXN000100,CUST0507,2024-09-07,Electronics,Smartwatch,4,1383.37,15.0,5533.48,830.02,4703.46,Net Banking,In-Store,North
TXN000101,CUST0204,2024-01-18,Home & Kitchen,Storage Box,3,537.63,10.0,1612.89,161.29,1451.6,UPI,Online,West
TXN000102,CUST0439,2024-03-25,Home & Kitchen,LED Lamp,2,1061.78,5.0,2123.56,106.18,2017.38,Credit Card,In-Store,Central
TXN000103,CUST0532,2024-10-11,Sports,Dumbbells,1,1256.58,5.0,1256.58,62.83,1193.75,UPI,Online,East
TXN000104,CUST0532,2024-05-03,Sports,Football,2,2648.01,10.0,5296.02,529.6,4766.42,Credit Card,In-Store,East
TXN000105,CUST0122,2024-07-14,Home & Kitchen,Storage Box,3,2443.05,20.0,7329.15,1465.83,5863.32,UPI,In-Store,East
TXN000106,CUST0244,2023-05-17,Home & Kitchen,Curtains,2,3059.1,0.0,6118.2,0.0,6118.2,Net Banking,In-Store,West
TXN000107,CUST0384,2024-03-20,Fashion,Jeans,2,1053.87,0.0,2107.74,0.0,2107.74,Net Banking,In-Store,West
TXN000108,CUST0523,2024-09-16,Fashion,Sneakers,4,310.37,0.0,1241.48,0.0,1241.48,Debit Card,In-Store,East
TXN000109,CUST0523,2024-11-02,Beauty,Lipstick,3,319.36,5.0,958.08,47.9,910.18,Credit Card,Online,East
TXN000110,CUST0519,2023-09-07,Fashion,Jeans,1,1057.57,10.0,1057.57,105.76,951.81,UPI,In-Store,Central
TXN000111,CUST0533,2023-12-02,Groceries,Detergent,2,545.76,0.0,1091.52,0.0,1091.52,Net Banking,Online,Central
TXN000112,CUST0220,2024-11-16,Sports,Dumbbells,4,2407.56,10.0,9630.24,963.02,8667.22,Cash on Delivery,Online,North
TXN000113,CUST0500,2024-09-22,Electronics,Headphones,4,2787.49,0.0,11149.96,0.0,11149.96,Debit Card,Online,East
TXN000114,CUST0265,2023-10-30,Sports,Yoga Mat,5,449.01,0.0,2245.05,0.0,2245.05,UPI,Online,South
TXN000115,CUST0582,2024-04-04,Beauty,Shampoo,2,1170.43,0.0,2340.86,0.0,2340.86,Cash on Delivery,In-Store,West
TXN000116,CUST0718,2023-07-29,Sports,Football,2,2056.71,0.0,4113.42,0.0,4113.42,Cash on Delivery,Online,South
TXN000117,CUST0533,2024-01-05,Electronics,Bluetooth Speaker,1,2755.18,10.0,2755.18,275.52,2479.66,UPI,In-Store,Central
TXN000118,CUST0391,2024-01-11,Electronics,Headphones,4,3479.36,10.0,13917.44,1391.74,12525.7,Credit Card,In-Store,West
TXN000119,CUST0625,2024-11-11,Fashion,T-Shirt,2,2417.08,0.0,4834.16,0.0,4834.16,Debit Card,Online,Central
TXN000120,CUST0787,2024-06-12,Fashion,T-Shirt,3,1599.65,0.0,4798.95,0.0,4798.95,Debit Card,In-Store,Central
TXN000121,CUST0721,2024-10-18,Electronics,Power Bank,5,2042.41,5.0,10212.05,510.6,9701.45,UPI,Online,North
TXN000122,CUST0394,2024-09-12,Sports,Dumbbells,5,2692.38,0.0,13461.9,0.0,13461.9,Credit Card,Online,Central
TXN000123,CUST0447,2024-07-09,Beauty,Lipstick,2,364.98,20.0,729.96,145.99,583.97,Net Banking,Online,East
TXN000124,CUST0070,2023-10-12,Beauty,Moisturizer,1,230.58,20.0,230.58,46.12,184.46,Net Banking,Online,South
TXN000125,CUST0479,2024-06-01,Electronics,Headphones,4,3271.24,15.0,13084.96,1962.74,11122.22,UPI,Online,East
TXN000126,CUST0627,2024-10-12,Beauty,Perfume,2,822.88,0.0,1645.76,0.0,1645.76,UPI,In-Store,North
TXN000127,CUST0647,2024-04-17,Home & Kitchen,Storage Box,4,351.07,0.0,1404.28,0.0,1404.28,UPI,Online,Central
TXN000128,CUST0179,2024-12-17,Beauty,Shampoo,5,218.54,0.0,1092.7,0.0,1092.7,Net Banking,In-Store,Central
TXN000129,CUST0532,2024-03-24,Groceries,Cooking Oil 1L,5,288.05,0.0,1440.25,0.0,1440.25,Cash on Delivery,Online,East
